eth_src,eth_dst,eth_type,ip_version,ip_ihl,ip_tos,ip_len,ip_id,ip_flags,ip_frag,ip_ttl,ip_proto,ip_chksum,ip_src,ip_dst,udp_sport,udp_dport,udp_len,udp_chksum,timestamp,length,summary
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,64,117,0,DF,0,58,17,38252,75.75.75.75,10.1.10.53,53,23903,97,19286,1532199341.975929,131,Ether / IP / UDP / DNS Ans b'clients.l.google.com.'
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1006,1,,0,64,17,21177,10.1.10.53,84.54.22.33,53,53,986,31189,1532199342.132537,1020,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,65497,,0,122,17,7258,84.54.22.33,10.1.10.53,53,53,64,65073,1532199342.144200,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,986,1,,0,64,17,21197,10.1.10.53,84.54.22.33,53,53,966,16099,1532199343.153571,1000,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,196,,0,122,17,7024,84.54.22.33,10.1.10.53,53,53,64,65074,1532199343.165917,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1004,1,,0,64,17,21179,10.1.10.53,84.54.22.33,53,53,984,46283,1532199344.175057,1018,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,1122,,0,122,17,6098,84.54.22.33,10.1.10.53,53,53,64,65075,1532199344.185602,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1037,1,,0,64,17,21146,10.1.10.53,84.54.22.33,53,53,1017,14360,1532199345.192632,1051,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,1586,,0,122,17,5634,84.54.22.33,10.1.10.53,53,53,64,65076,1532199345.206064,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1004,1,,0,64,17,21179,10.1.10.53,84.54.22.33,53,53,984,13507,1532199346.214431,1018,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,2399,,0,122,17,4821,84.54.22.33,10.1.10.53,53,53,64,65077,1532199346.230095,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1039,1,,0,64,17,21144,10.1.10.53,84.54.22.33,53,53,1019,39038,1532199347.233872,1053,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,3259,,0,122,17,3961,84.54.22.33,10.1.10.53,53,53,64,65078,1532199347.245332,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1037,1,,0,64,17,21146,10.1.10.53,84.54.22.33,53,53,1017,34323,1532199348.252542,1051,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,3868,,0,122,17,3352,84.54.22.33,10.1.10.53,53,53,64,65079,1532199348.264799,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1035,1,,0,64,17,21148,10.1.10.53,84.54.22.33,53,53,1015,48822,1532199349.271787,1049,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,4833,,0,122,17,2387,84.54.22.33,10.1.10.53,53,53,64,65080,1532199349.308749,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1010,1,,0,64,17,21173,10.1.10.53,84.54.22.33,53,53,990,45536,1532199350.293494,1024,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,5421,,0,122,17,1799,84.54.22.33,10.1.10.53,53,53,64,65081,1532199350.304299,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1006,1,,0,64,17,21177,10.1.10.53,84.54.22.33,53,53,986,49529,1532199351.311700,1020,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,5904,,0,122,17,1316,84.54.22.33,10.1.10.53,53,53,64,65082,1532199351.355696,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1006,1,,0,64,17,21177,10.1.10.53,84.54.22.33,53,53,986,3200,1532199352.332264,1020,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,6333,,0,122,17,887,84.54.22.33,10.1.10.53,53,53,64,65083,1532199352.343638,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1013,1,,0,64,17,21170,10.1.10.53,84.54.22.33,53,53,993,51737,1532199353.353065,1027,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,6737,,0,122,17,483,84.54.22.33,10.1.10.53,53,53,64,65084,1532199353.369271,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1019,1,,0,64,17,21164,10.1.10.53,84.54.22.33,53,53,999,31108,1532199354.372890,1033,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,7350,,0,122,17,65405,84.54.22.33,10.1.10.53,53,53,64,65085,1532199354.384039,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1005,1,,0,64,17,21178,10.1.10.53,84.54.22.33,53,53,985,63799,1532199355.393694,1019,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,7732,,0,122,17,65023,84.54.22.33,10.1.10.53,53,53,64,65086,1532199355.413524,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1017,1,,0,64,17,21166,10.1.10.53,84.54.22.33,53,53,997,52533,1532199356.414539,1031,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,8307,,0,122,17,64448,84.54.22.33,10.1.10.53,53,53,64,65087,1532199356.426000,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,1027,1,,0,64,17,21156,10.1.10.53,84.54.22.33,53,53,1007,12197,1532199357.434928,1041,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,8744,,0,122,17,64011,84.54.22.33,10.1.10.53,53,53,64,65088,1532199357.446249,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,969,1,,0,64,17,21214,10.1.10.53,84.54.22.33,53,53,949,671,1532199358.456765,983,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,9344,,0,122,17,63411,84.54.22.33,10.1.10.53,53,53,64,65089,1532199358.471973,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
88:e9:fe:6a:92:52,80:37:73:96:9b:db,2048,4,5,0,588,1,,0,64,17,21595,10.1.10.53,84.54.22.33,53,53,568,54406,1532199359.479115,602,Ether / IP / UDP / DNS Qry b'google.com.' / Raw
80:37:73:96:9b:db,88:e9:fe:6a:92:52,2048,4,5,32,84,10094,,0,122,17,62661,84.54.22.33,10.1.10.53,53,53,64,65090,1532199359.500812,98,Ether / IP / UDP / DNS Ans 2607:f8b0:4005:807::200e
